kind,w,sigma_d,seed,success
bridge,0.1,0.0,0,0.56
bridge,0.1,0.0,1,0.59
bridge,0.1,0.0,2,0.58
bridge,0.1,0.0,3,0.7
bridge,0.1,0.0,4,0.785
bridge,0.1,0.05,0,0.44
bridge,0.1,0.05,1,0.375
bridge,0.1,0.05,2,0.36
bridge,0.1,0.05,3,0.435
bridge,0.1,0.05,4,0.455
bridge,0.2,0.0,0,0.71
bridge,0.2,0.0,1,0.64
bridge,0.2,0.0,2,0.715
bridge,0.2,0.0,3,0.63
bridge,0.2,0.0,4,0.78
bridge,0.2,0.05,0,0.505
bridge,0.2,0.05,1,0.575
bridge,0.2,0.05,2,0.535
bridge,0.2,0.05,3,0.495
bridge,0.2,0.05,4,0.545
bridge,0.4,0.0,0,0.775
bridge,0.4,0.0,1,0.8
bridge,0.4,0.0,2,0.645
bridge,0.4,0.0,3,0.71
bridge,0.4,0.0,4,0.84
bridge,0.4,0.05,0,0.655
bridge,0.4,0.05,1,0.68
bridge,0.4,0.05,2,0.49
bridge,0.4,0.05,3,0.645
bridge,0.4,0.05,4,0.675
flow0,0.1,0.0,0,0.765
flow0,0.1,0.0,1,0.66
flow0,0.1,0.0,2,0.905
flow0,0.1,0.0,3,0.875
flow0,0.1,0.0,4,0.67
flow0,0.1,0.05,0,0.5
flow0,0.1,0.05,1,0.485
flow0,0.1,0.05,2,0.495
flow0,0.1,0.05,3,0.525
flow0,0.1,0.05,4,0.47
flow0,0.2,0.0,0,0.935
flow0,0.2,0.0,1,0.9
flow0,0.2,0.0,2,0.945
flow0,0.2,0.0,3,0.925
flow0,0.2,0.0,4,0.865
flow0,0.2,0.05,0,0.8
flow0,0.2,0.05,1,0.74
flow0,0.2,0.05,2,0.67
flow0,0.2,0.05,3,0.71
flow0,0.2,0.05,4,0.635
flow0,0.4,0.0,0,0.935
flow0,0.4,0.0,1,0.895
flow0,0.4,0.0,2,0.93
flow0,0.4,0.0,3,0.89
flow0,0.4,0.0,4,0.89
flow0,0.4,0.05,0,0.81
flow0,0.4,0.05,1,0.745
flow0,0.4,0.05,2,0.69
flow0,0.4,0.05,3,0.73
flow0,0.4,0.05,4,0.73
