condition,w,sigma_d,seed,episode,success,collision,effort,length
A0.001,0.1,0.0,0,0,1,0,0.1710314303636551,300
A0.001,0.1,0.0,0,1,0,1,0.02279496006667614,142
A0.001,0.1,0.0,0,2,1,0,0.15023379027843475,300
A0.001,0.1,0.0,0,3,1,0,0.1592605710029602,300
A0.001,0.1,0.0,0,4,0,0,0.20467408001422882,300
A0.001,0.1,0.0,0,5,1,0,0.19961173832416534,300
A0.001,0.1,0.0,0,6,0,1,0.06625795364379883,150
A0.001,0.1,0.0,0,7,0,1,0.09516111016273499,171
A0.001,0.1,0.0,0,8,0,1,0.06955013424158096,164
A0.001,0.1,0.0,0,9,0,1,0.05589012801647186,146
A0.001,0.1,0.0,0,10,1,0,0.1469746232032776,300
A0.001,0.1,0.0,0,11,0,0,0.16995005309581757,300
A0.001,0.1,0.0,0,12,1,0,0.19765955209732056,300
A0.001,0.1,0.0,0,13,0,1,0.12607772648334503,199
A0.001,0.1,0.0,0,14,1,0,0.15946993231773376,300
A0.001,0.1,0.0,0,15,0,1,0.07680471986532211,188
A0.001,0.1,0.0,0,16,0,1,0.0928744301199913,183
A0.001,0.1,0.0,0,17,0,1,0.1401340812444687,174
A0.001,0.1,0.0,0,18,0,1,0.09742935746908188,167
A0.001,0.1,0.0,0,19,0,1,0.051696792244911194,149
A0.001,0.1,0.0,0,20,1,0,0.17986148595809937,300
A0.001,0.1,0.0,0,21,1,0,0.17886948585510254,300
A0.001,0.1,0.0,0,22,1,0,0.1713627576828003,300
A0.001,0.1,0.0,0,23,1,0,0.13538406789302826,300
A0.001,0.1,0.0,0,24,1,0,0.14052799344062805,300
A0.001,0.1,0.0,0,25,1,0,0.15763889253139496,300
A0.001,0.1,0.0,0,26,0,1,0.1562102735042572,141
A0.001,0.1,0.0,0,27,1,0,0.11918463557958603,300
A0.001,0.1,0.0,0,28,0,0,0.1533680409193039,300
A0.001,0.1,0.0,0,29,0,1,0.11904732137918472,188
A0.001,0.1,0.0,0,30,1,0,0.11626630276441574,300
A0.001,0.1,0.0,0,31,1,0,0.16350701451301575,300
A0.001,0.1,0.0,0,32,1,0,0.15453477203845978,300
A0.001,0.1,0.0,0,33,1,0,0.14997975528240204,300
A0.001,0.1,0.0,0,34,0,1,0.1805756688117981,165
A0.001,0.1,0.0,0,35,0,0,0.15720343589782715,300
A0.001,0.1,0.0,0,36,1,0,0.20240740478038788,300
A0.001,0.1,0.0,0,37,1,0,0.17007388174533844,300
A0.001,0.1,0.0,0,38,0,1,0.06473046541213989,148
A0.001,0.1,0.0,0,39,1,0,0.14386104047298431,300
A0.001,0.1,0.0,0,40,1,0,0.1772102415561676,300
A0.001,0.1,0.0,0,41,0,0,0.2582603394985199,300
A0.001,0.1,0.0,0,42,1,0,0.15527032315731049,300
A0.001,0.1,0.0,0,43,0,1,0.08710215240716934,159
A0.001,0.1,0.0,0,44,1,0,0.2371322065591812,300
A0.001,0.1,0.0,0,45,0,1,0.0701696053147316,151
A0.001,0.1,0.0,0,46,1,0,0.12300441414117813,300
A0.001,0.1,0.0,0,47,1,0,0.1757810413837433,300
A0.001,0.1,0.0,0,48,1,0,0.11512558162212372,300
A0.001,0.1,0.0,0,49,1,0,0.1901841163635254,300
A0.001,0.1,0.0,0,50,0,1,0.09027736634016037,158
A0.001,0.1,0.0,0,51,0,1,0.08546178787946701,149
A0.001,0.1,0.0,0,52,1,0,0.1336810141801834,300
A0.001,0.1,0.0,0,53,1,0,0.18895623087882996,300
A0.001,0.1,0.0,0,54,1,0,0.14848576486110687,300
A0.001,0.1,0.0,0,55,1,0,0.2360428422689438,300
A0.001,0.1,0.0,0,56,1,0,0.1475890725851059,300
A0.001,0.1,0.0,0,57,1,0,0.14186830818653107,300
A0.001,0.1,0.0,0,58,1,0,0.16359247267246246,300
A0.001,0.1,0.0,0,59,1,0,0.12931345403194427,300
A0.001,0.1,0.0,0,60,1,0,0.13531039655208588,300
A0.001,0.1,0.0,0,61,0,1,0.14964741468429565,168
A0.001,0.1,0.0,0,62,0,1,0.1629616767168045,179
A0.001,0.1,0.0,0,63,1,0,0.130903959274292,300
A0.001,0.1,0.0,0,64,1,0,0.19915169477462769,300
A0.001,0.1,0.0,0,65,0,1,0.0608656220138073,142
A0.001,0.1,0.0,0,66,1,0,0.1564498394727707,300
A0.001,0.1,0.0,0,67,0,1,0.13020086288452148,181
A0.001,0.1,0.0,0,68,0,1,0.08580116927623749,185
A0.001,0.1,0.0,0,69,0,1,0.14103180170059204,187
A0.001,0.1,0.0,0,70,0,1,0.08473800867795944,183
A0.001,0.1,0.0,0,71,1,0,0.16235017776489258,300
A0.001,0.1,0.0,0,72,1,0,0.18786652386188507,300
A0.001,0.1,0.0,0,73,0,1,0.15121714770793915,184
A0.001,0.1,0.0,0,74,1,0,0.14246423542499542,300
A0.001,0.1,0.0,0,75,1,0,0.1852981001138687,300
A0.001,0.1,0.0,0,76,0,1,0.033995021134614944,134
A0.001,0.1,0.0,0,77,1,0,0.1757390797138214,300
A0.001,0.1,0.0,0,78,0,1,0.09487813711166382,178
A0.001,0.1,0.0,0,79,0,1,0.08518216758966446,171
A0.001,0.1,0.0,0,80,0,0,0.1855272352695465,300
A0.001,0.1,0.0,0,81,1,0,0.1866825968027115,300
A0.001,0.1,0.0,0,82,1,0,0.15286652743816376,300
A0.001,0.1,0.0,0,83,0,0,0.16328918933868408,300
A0.001,0.1,0.0,0,84,1,0,0.13198131322860718,300
A0.001,0.1,0.0,0,85,0,0,0.22370554506778717,300
A0.001,0.1,0.0,0,86,1,0,0.21695184707641602,300
A0.001,0.1,0.0,0,87,1,0,0.1383105367422104,300
A0.001,0.1,0.0,0,88,1,0,0.1513344794511795,300
A0.001,0.1,0.0,0,89,1,0,0.12164434790611267,300
A0.001,0.1,0.0,0,90,1,0,0.16563531756401062,300
A0.001,0.1,0.0,0,91,1,0,0.16370810568332672,300
A0.001,0.1,0.0,0,92,1,0,0.14816704392433167,300
A0.001,0.1,0.0,0,93,1,0,0.15072235465049744,300
A0.001,0.1,0.0,0,94,0,1,0.08962564170360565,173
A0.001,0.1,0.0,0,95,1,0,0.1779901534318924,300
A0.001,0.1,0.0,0,96,0,1,0.09663643687963486,173
A0.001,0.1,0.0,0,97,1,0,0.18966645002365112,300
A0.001,0.1,0.0,0,98,1,0,0.1584414839744568,300
A0.001,0.1,0.0,0,99,1,0,0.1365172117948532,300
A0.001,0.1,0.0,0,100,0,1,0.040518149733543396,121
A0.001,0.1,0.0,0,101,0,1,0.029262017458677292,136
A0.001,0.1,0.0,0,102,0,1,0.09883846342563629,187
A0.001,0.1,0.0,0,103,0,0,0.198786199092865,300
A0.001,0.1,0.0,0,104,1,0,0.17225991189479828,300
A0.001,0.1,0.0,0,105,1,0,0.13488198816776276,300
A0.001,0.1,0.0,0,106,0,1,0.08269093185663223,176
A0.001,0.1,0.0,0,107,1,0,0.14101068675518036,300
A0.001,0.1,0.0,0,108,0,1,0.12125054746866226,141
A0.001,0.1,0.0,0,109,1,0,0.12888583540916443,300
A0.001,0.1,0.0,0,110,1,0,0.14295296370983124,300
A0.001,0.1,0.0,0,111,0,1,0.10556817799806595,173
A0.001,0.1,0.0,0,112,0,1,0.09522239118814468,167
A0.001,0.1,0.0,0,113,0,1,0.09498036652803421,169
A0.001,0.1,0.0,0,114,0,1,0.10830383747816086,176
A0.001,0.1,0.0,0,115,1,0,0.1972789615392685,300
A0.001,0.1,0.0,0,116,0,1,0.08532315492630005,155
A0.001,0.1,0.0,0,117,0,0,0.2104521542787552,300
A0.001,0.1,0.0,0,118,1,0,0.18351052701473236,300
A0.001,0.1,0.0,0,119,1,0,0.20028056204319,300
A0.001,0.1,0.0,0,120,1,0,0.14395290613174438,300
A0.001,0.1,0.0,0,121,1,0,0.17200784385204315,300
A0.001,0.1,0.0,0,122,0,1,0.08141264319419861,148
A0.001,0.1,0.0,0,123,1,0,0.13280940055847168,300
A0.001,0.1,0.0,0,124,1,0,0.19912540912628174,300
A0.001,0.1,0.0,0,125,0,1,0.0925847738981247,147
A0.001,0.1,0.0,0,126,0,1,0.05434592813253403,184
A0.001,0.1,0.0,0,127,1,0,0.13345183432102203,300
A0.001,0.1,0.0,0,128,0,1,0.1282481700181961,154
A0.001,0.1,0.0,0,129,1,0,0.1335948258638382,300
A0.001,0.1,0.0,0,130,0,1,0.08363251388072968,144
A0.001,0.1,0.0,0,131,1,0,0.13957150280475616,300
A0.001,0.1,0.0,0,132,0,1,0.09782087802886963,175
A0.001,0.1,0.0,0,133,1,0,0.17593440413475037,300
A0.001,0.1,0.0,0,134,1,0,0.19286541640758514,300
A0.001,0.1,0.0,0,135,0,1,0.053787752985954285,122
A0.001,0.1,0.0,0,136,1,0,0.15081508457660675,300
A0.001,0.1,0.0,0,137,0,1,0.1973343789577484,157
A0.001,0.1,0.0,0,138,1,0,0.17838791012763977,300
A0.001,0.1,0.0,0,139,1,0,0.21977640688419342,300
A0.001,0.1,0.0,0,140,1,0,0.2031707763671875,300
A0.001,0.1,0.0,0,141,1,0,0.1357070356607437,300
A0.001,0.1,0.0,0,142,0,1,0.09927529096603394,140
A0.001,0.1,0.0,0,143,0,1,0.06975828111171722,159
A0.001,0.1,0.0,0,144,0,1,0.11240790039300919,177
A0.001,0.1,0.0,0,145,0,1,0.07842379063367844,181
A0.001,0.1,0.0,0,146,1,0,0.13135671615600586,300
A0.001,0.1,0.0,0,147,1,0,0.16725678741931915,300
A0.001,0.1,0.0,0,148,0,1,0.0796942338347435,197
A0.001,0.1,0.0,0,149,0,0,0.2089291363954544,300
A0.001,0.1,0.0,0,150,0,1,0.08129371702671051,153
A0.001,0.1,0.0,0,151,1,0,0.2075497955083847,300
A0.001,0.1,0.0,0,152,1,0,0.1601627767086029,300
A0.001,0.1,0.0,0,153,1,0,0.19626204669475555,300
A0.001,0.1,0.0,0,154,1,0,0.15352103114128113,300
A0.001,0.1,0.0,0,155,1,0,0.18748410046100616,300
A0.001,0.1,0.0,0,156,1,0,0.1162249967455864,300
A0.001,0.1,0.0,0,157,0,1,0.08540678769350052,163
A0.001,0.1,0.0,0,158,1,0,0.159023255109787,300
A0.001,0.1,0.0,0,159,1,0,0.21376705169677734,300
A0.001,0.1,0.0,0,160,1,0,0.15855196118354797,300
A0.001,0.1,0.0,0,161,0,1,0.08196242153644562,158
A0.001,0.1,0.0,0,162,0,1,0.17070747911930084,187
A0.001,0.1,0.0,0,163,0,1,0.08806255459785461,175
A0.001,0.1,0.0,0,164,1,0,0.19267858564853668,300
A0.001,0.1,0.0,0,165,1,0,0.1319746971130371,300
A0.001,0.1,0.0,0,166,0,1,0.1183866485953331,163
A0.001,0.1,0.0,0,167,1,0,0.1725551187992096,300
A0.001,0.1,0.0,0,168,0,1,0.07868777215480804,195
A0.001,0.1,0.0,0,169,0,0,0.20885084569454193,300
A0.001,0.1,0.0,0,170,1,0,0.21189652383327484,300
A0.001,0.1,0.0,0,171,0,1,0.12593130767345428,188
A0.001,0.1,0.0,0,172,1,0,0.15235131978988647,300
A0.001,0.1,0.0,0,173,0,1,0.0815349817276001,165
A0.001,0.1,0.0,0,174,1,0,0.21620066463947296,300
A0.001,0.1,0.0,0,175,1,0,0.1261029988527298,300
A0.001,0.1,0.0,0,176,0,1,0.09157554060220718,152
A0.001,0.1,0.0,0,177,0,1,0.07900223135948181,161
A0.001,0.1,0.0,0,178,0,0,0.1477639377117157,300
A0.001,0.1,0.0,0,179,0,1,0.10410832613706589,161
A0.001,0.1,0.0,0,180,1,0,0.13758458197116852,300
A0.001,0.1,0.0,0,181,0,1,0.09290502220392227,161
A0.001,0.1,0.0,0,182,0,1,0.08677296340465546,156
A0.001,0.1,0.0,0,183,1,0,0.20570571720600128,300
A0.001,0.1,0.0,0,184,0,1,0.10367774218320847,176
A0.001,0.1,0.0,0,185,1,0,0.11593502014875412,300
A0.001,0.1,0.0,0,186,1,0,0.15932828187942505,300
A0.001,0.1,0.0,0,187,0,0,0.1859433352947235,300
A0.001,0.1,0.0,0,188,0,1,0.04915051907300949,157
A0.001,0.1,0.0,0,189,1,0,0.19720005989074707,300
A0.001,0.1,0.0,0,190,1,0,0.15394824743270874,300
A0.001,0.1,0.0,0,191,1,0,0.13510851562023163,300
A0.001,0.1,0.0,0,192,1,0,0.19023004174232483,300
A0.001,0.1,0.0,0,193,0,1,0.1156679317355156,198
A0.001,0.1,0.0,0,194,0,1,0.11798961460590363,151
A0.001,0.1,0.0,0,195,1,0,0.1638307422399521,300
A0.001,0.1,0.0,0,196,1,0,0.13870500028133392,300
A0.001,0.1,0.0,0,197,1,0,0.17834050953388214,300
A0.001,0.1,0.0,0,198,0,1,0.050581976771354675,150
A0.001,0.1,0.0,0,199,1,0,0.1995583027601242,300
A0.001,0.1,0.0,1,0,0,1,0.10842005908489227,156
A0.001,0.1,0.0,1,1,0,1,0.17077413201332092,201
A0.001,0.1,0.0,1,2,1,0,0.18443815410137177,300
A0.001,0.1,0.0,1,3,1,0,0.1589142084121704,300
A0.001,0.1,0.0,1,4,0,1,0.05899147689342499,135
A0.001,0.1,0.0,1,5,1,0,0.13894593715667725,300
A0.001,0.1,0.0,1,6,1,0,0.15676374733448029,300
A0.001,0.1,0.0,1,7,0,1,0.1097501665353775,162
A0.001,0.1,0.0,1,8,1,0,0.15441587567329407,300
A0.001,0.1,0.0,1,9,1,0,0.18036502599716187,300
A0.001,0.1,0.0,1,10,0,1,0.09418722242116928,184
A0.001,0.1,0.0,1,11,1,0,0.21021638810634613,300
A0.001,0.1,0.0,1,12,1,0,0.19166788458824158,300
A0.001,0.1,0.0,1,13,0,1,0.0700564906001091,143
A0.001,0.1,0.0,1,14,1,0,0.1501259207725525,300
A0.001,0.1,0.0,1,15,0,1,0.0995667576789856,158
A0.001,0.1,0.0,1,16,1,0,0.1556926965713501,300
A0.001,0.1,0.0,1,17,0,1,0.09867937117815018,145
A0.001,0.1,0.0,1,18,1,0,0.15243785083293915,300
A0.001,0.1,0.0,1,19,1,0,0.1701674610376358,300
A0.001,0.1,0.0,1,20,1,0,0.17064590752124786,300
A0.001,0.1,0.0,1,21,0,1,0.09270341694355011,154
A0.001,0.1,0.0,1,22,1,0,0.15920332074165344,300
A0.001,0.1,0.0,1,23,0,1,0.06741552799940109,151
A0.001,0.1,0.0,1,24,0,1,0.04356902837753296,129
A0.001,0.1,0.0,1,25,1,0,0.1801624447107315,300
A0.001,0.1,0.0,1,26,1,0,0.1726672500371933,300
A0.001,0.1,0.0,1,27,0,1,0.09793451428413391,146
A0.001,0.1,0.0,1,28,0,1,0.07659891247749329,171
A0.001,0.1,0.0,1,29,1,0,0.16603268682956696,300
A0.001,0.1,0.0,1,30,0,1,0.12457593530416489,186
A0.001,0.1,0.0,1,31,0,1,0.07993702590465546,137
A0.001,0.1,0.0,1,32,1,0,0.17576390504837036,300
A0.001,0.1,0.0,1,33,0,0,0.15784886479377747,300
A0.001,0.1,0.0,1,34,1,0,0.15295729041099548,300
A0.001,0.1,0.0,1,35,1,0,0.15331566333770752,300
A0.001,0.1,0.0,1,36,0,1,0.10014631599187851,168
A0.001,0.1,0.0,1,37,0,1,0.10116714239120483,173
A0.001,0.1,0.0,1,38,0,1,0.0628170371055603,134
A0.001,0.1,0.0,1,39,0,1,0.10296443849802017,171
A0.001,0.1,0.0,1,40,1,0,0.2229369431734085,300
A0.001,0.1,0.0,1,41,1,0,0.16134539246559143,300
A0.001,0.1,0.0,1,42,1,0,0.11899319291114807,300
A0.001,0.1,0.0,1,43,1,0,0.2156258523464203,300
A0.001,0.1,0.0,1,44,1,0,0.17352814972400665,300
A0.001,0.1,0.0,1,45,1,0,0.16326452791690826,300
