condition,w,sigma_d,seed,handoff,n_reached,w2
A0.001,0.1,0.0,0,1,200,0.042144241957922476
A0.001,0.1,0.0,0,2,200,0.04021710169802766
A0.001,0.1,0.0,1,1,200,0.027902649954100755
A0.001,0.1,0.0,1,2,200,0.034594558241046944
A0.001,0.1,0.0,2,1,200,0.03451357084001576
A0.001,0.1,0.0,2,2,200,0.032656532538892113
A0.001,0.1,0.0,3,1,200,0.03156335783886618
A0.001,0.1,0.0,3,2,200,0.04186603547144805
A0.001,0.1,0.0,4,1,200,0.0222968085675834
A0.001,0.1,0.0,4,2,200,0.01800913059144869
A0.001,0.1,0.02,0,1,200,0.046872240720824285
A0.001,0.1,0.02,0,2,200,0.0429882400198048
A0.001,0.1,0.02,1,1,200,0.03129287748324685
A0.001,0.1,0.02,1,2,200,0.034826563408493924
A0.001,0.1,0.02,2,1,200,0.032345675698817286
A0.001,0.1,0.02,2,2,200,0.03147850566762266
A0.001,0.1,0.02,3,1,200,0.035365759678509426
A0.001,0.1,0.02,3,2,200,0.041075918206949204
A0.001,0.1,0.02,4,1,200,0.02007806251075691
A0.001,0.1,0.02,4,2,200,0.016729089263011077
A0.001,0.1,0.05,0,1,200,0.0451670547332089
A0.001,0.1,0.05,0,2,200,0.043117183986463636
A0.001,0.1,0.05,1,1,200,0.030034097959319554
A0.001,0.1,0.05,1,2,200,0.03813718924900448
A0.001,0.1,0.05,2,1,200,0.03155184552791918
A0.001,0.1,0.05,2,2,200,0.04397387697295163
A0.001,0.1,0.05,3,1,200,0.035899604670277294
A0.001,0.1,0.05,3,2,200,0.041976005064228855
A0.001,0.1,0.05,4,1,200,0.022617053893616717
A0.001,0.1,0.05,4,2,200,0.02176221030842008
A0.001,0.1,0.1,0,1,200,0.0472777237786305
A0.001,0.1,0.1,0,2,200,0.06323084701897487
A0.001,0.1,0.1,1,1,200,0.03008331358428511
A0.001,0.1,0.1,1,2,200,0.058544530319914544
A0.001,0.1,0.1,2,1,200,0.03805492809615161
A0.001,0.1,0.1,2,2,200,0.06969252410805339
A0.001,0.1,0.1,3,1,200,0.03569430557453061
A0.001,0.1,0.1,3,2,200,0.0669839585891512
A0.001,0.1,0.1,4,1,200,0.021624300176986876
A0.001,0.1,0.1,4,2,200,0.04796810905435031
A0.001,0.2,0.0,0,1,200,0.04971597585587511
A0.001,0.2,0.0,0,2,200,0.031318658744036
A0.001,0.2,0.0,1,1,200,0.04769278117336024
A0.001,0.2,0.0,1,2,200,0.038259354540417755
A0.001,0.2,0.0,2,1,200,0.0358959808232011
A0.001,0.2,0.0,2,2,200,0.020544618532048867
A0.001,0.2,0.0,3,1,200,0.03958660290190891
A0.001,0.2,0.0,3,2,200,0.046126387109995746
A0.001,0.2,0.0,4,1,200,0.031673956624031364
A0.001,0.2,0.0,4,2,200,0.03770392834023502
A0.001,0.2,0.02,0,1,200,0.035801010278646975
A0.001,0.2,0.02,0,2,200,0.03966285128995511
A0.001,0.2,0.02,1,1,200,0.04862551583878508
A0.001,0.2,0.02,1,2,200,0.03176438357700661
A0.001,0.2,0.02,2,1,200,0.033632492139484216
A0.001,0.2,0.02,2,2,200,0.01842563611044233
A0.001,0.2,0.02,3,1,200,0.039554231820014135
A0.001,0.2,0.02,3,2,200,0.03096463228144167
A0.001,0.2,0.02,4,1,200,0.02398358658472905
A0.001,0.2,0.02,4,2,200,0.0407797390131137
A0.001,0.2,0.05,0,1,200,0.04412106151772829
A0.001,0.2,0.05,0,2,200,0.05013057886018172
A0.001,0.2,0.05,1,1,200,0.03137394765967735
A0.001,0.2,0.05,1,2,200,0.03639584454401766
A0.001,0.2,0.05,2,1,200,0.03201382828925769
A0.001,0.2,0.05,2,2,200,0.02814564445826498
A0.001,0.2,0.05,3,1,200,0.03830438144050254
A0.001,0.2,0.05,3,2,200,0.03530303345207767
A0.001,0.2,0.05,4,1,200,0.02545505960058849
A0.001,0.2,0.05,4,2,200,0.034710419560726846
A0.001,0.2,0.1,0,1,200,0.04066245004493963
A0.001,0.2,0.1,0,2,200,0.06242455910152718
A0.001,0.2,0.1,1,1,200,0.040115202697831066
A0.001,0.2,0.1,1,2,200,0.053357968240355394
A0.001,0.2,0.1,2,1,200,0.028747673973395223
A0.001,0.2,0.1,2,2,200,0.0572948565398318
A0.001,0.2,0.1,3,1,200,0.05070582206727268
A0.001,0.2,0.1,3,2,200,0.06278753071330331
A0.001,0.2,0.1,4,1,200,0.02518058947708586
A0.001,0.2,0.1,4,2,200,0.04919504251535781
A0.001,0.4,0.0,0,1,200,0.04354786677814127
A0.001,0.4,0.0,0,2,200,0.045664411425452626
A0.001,0.4,0.0,1,1,200,0.056765951907778354
A0.001,0.4,0.0,1,2,200,0.03566215672272798
A0.001,0.4,0.0,2,1,200,0.02844142031440472
A0.001,0.4,0.0,2,2,200,0.06282315486704694
A0.001,0.4,0.0,3,1,200,0.045773283714077934
A0.001,0.4,0.0,3,2,200,0.05869424417005617
A0.001,0.4,0.0,4,1,200,0.03450313871557264
A0.001,0.4,0.0,4,2,200,0.04754344969691347
A0.001,0.4,0.02,0,1,200,0.03262847237931449
A0.001,0.4,0.02,0,2,200,0.03256558665659277
A0.001,0.4,0.02,1,1,200,0.051422374592442116
A0.001,0.4,0.02,1,2,200,0.041862067041888086
A0.001,0.4,0.02,2,1,200,0.029711974064209466
A0.001,0.4,0.02,2,2,200,0.05554744475416019
A0.001,0.4,0.02,3,1,200,0.05286565143374399
A0.001,0.4,0.02,3,2,200,0.06675153520948024
A0.001,0.4,0.02,4,1,200,0.02146371075679676
A0.001,0.4,0.02,4,2,200,0.04481033236305285
A0.001,0.4,0.05,0,1,200,0.03576871846235528
