kind,w,seed,skill,iter,coupling_cost,sinkhorn,w2,killed
bridge,0.1,0,1,0,0.10073940455913544,0.003916076384484768,0.016095883010326793,0.00999993085861206
bridge,0.1,0,1,1,0.10013176500797272,0.004449764266610146,0.02186529460330589,0.0059999823570251465
bridge,0.1,0,1,2,0.09490484744310379,0.004268026910722256,0.012285634183549568,0.019999980926513672
bridge,0.1,0,1,3,0.09189055860042572,0.004369075410068035,0.015470934646236204,0.015999972820281982
bridge,0.1,0,1,4,0.08608334511518478,0.004493707790970802,0.015150445703427313,0.027999937534332275
bridge,0.1,0,1,5,0.09217226505279541,0.003999839536845684,0.01205541955718776,0.01399993896484375
bridge,0.1,0,2,0,0.03091263584792614,0.003753740107640624,0.017297920296322704,0.48799997568130493
bridge,0.1,0,2,1,0.030855515971779823,0.004030803218483925,0.014483676788358444,0.5299999713897705
bridge,0.1,0,2,2,0.02930057793855667,0.004154355265200138,0.022919597023009265,0.49799996614456177
bridge,0.1,0,2,3,0.02976834401488304,0.004311955533921719,0.019662148381287194,0.5339999794960022
bridge,0.1,0,2,4,0.02660159394145012,0.0041791172698140144,0.022906801435871607,0.4860000014305115
bridge,0.1,0,2,5,0.02843390218913555,0.004002636298537254,0.022018117007436718,0.4959999918937683
bridge,0.1,0,3,0,0.10075291246175766,0.0091770701110363,0.037535443479192195,0.0059999823570251465
bridge,0.1,0,3,1,0.091185562312603,0.008833949454128742,0.03244894378610222,0.003999948501586914
bridge,0.1,0,3,2,0.09066544473171234,0.010038581676781178,0.04734721606469913,0.0059999823570251465
bridge,0.1,0,3,3,0.08959131687879562,0.008647110313177109,0.02912331489772929,0.0059999823570251465
bridge,0.1,0,3,4,0.09185885637998581,0.0087968111038208,0.030399830363439125,0.0059999823570251465
bridge,0.1,0,3,5,0.09230915457010269,0.008897320367395878,0.03216384586341861,0.00999993085861206
bridge,0.1,1,1,0,0.10036476701498032,0.004193788394331932,0.01623326638496082,0.007999956607818604
bridge,0.1,1,1,1,0.09265092760324478,0.0042167892679572105,0.01734002262535014,0.019999980926513672
bridge,0.1,1,1,2,0.08891239017248154,0.00396081805229187,0.01072415103304176,0.02599996328353882
bridge,0.1,1,1,3,0.0929882675409317,0.0042845383286476135,0.019917930595974728,0.007999956607818604
bridge,0.1,1,1,4,0.09321954846382141,0.0043745385482907295,0.02069840201506627,0.02199995517730713
bridge,0.1,1,1,5,0.09120575338602066,0.00423634797334671,0.017338247617414544,0.01399993896484375
bridge,0.1,1,2,0,0.03087599389255047,0.004230709280818701,0.024039490420738156,0.46799999475479126
bridge,0.1,1,2,1,0.03236684575676918,0.004369042348116636,0.026042120609673074,0.5059999823570251
bridge,0.1,1,2,2,0.03272141143679619,0.003844704246148467,0.01621600387832973,0.47599995136260986
bridge,0.1,1,2,3,0.029252255335450172,0.004182332195341587,0.018704471309267248,0.5119999647140503
bridge,0.1,1,2,4,0.028869301080703735,0.004139494150876999,0.022126533419260245,0.5519999861717224
bridge,0.1,1,2,5,0.028291599825024605,0.004240517970174551,0.019584955310235273,0.5080000162124634
bridge,0.1,1,3,0,0.1007736548781395,0.008431993424892426,0.026113177024917673,0.001999974250793457
