cond,w,seed,step,ret,success
C,0.1,0,16384,-1.0281988382339478,0.0
C,0.1,0,32768,-1.0712003166025335,0.0
C,0.1,0,49152,-1.1252887050310771,0.0
C,0.1,0,65536,-1.214215503705965,0.0
C,0.1,0,81920,-1.2941632711887359,0.0
C,0.1,0,98304,-1.362016361951828,0.0
C,0.1,0,114688,-1.3768481427431107,0.0
C,0.1,0,131072,-1.3708493936061859,0.0
C,0.1,0,147456,-1.3478429681062698,0.0
C,0.1,0,163840,-0.4244475722312927,0.445
C,0.1,0,180224,-0.6209592108428478,0.345
C,0.1,0,196608,-0.8573693613708019,0.24
C,0.1,0,212992,-1.0330746220052243,0.155
C,0.1,0,229376,-0.8352155184745789,0.235
C,0.1,0,245760,-0.8238619829714299,0.23
C,0.1,0,262144,-0.8003096450865269,0.25
C,0.1,0,278528,-0.8069249171018601,0.25
C,0.1,0,294912,-0.8365294471383095,0.22
C,0.1,0,311296,-0.6635795328021049,0.3
C,0.1,0,327680,-0.5735815650224686,0.365
C,0.1,0,344064,-0.49265975594520567,0.405
C,0.1,0,360448,-0.6477633121609688,0.31
C,0.1,0,376832,-0.5499524182081222,0.35
C,0.1,0,393216,-0.45230031579732893,0.41
C,0.1,0,409600,-0.42639896392822263,0.425
C,0.1,0,425984,-0.5571652720868587,0.36
C,0.1,0,442368,-0.5582804691791534,0.365
C,0.1,0,458752,-0.6631794239580632,0.305
C,0.1,0,475136,-0.4885747653245926,0.385
C,0.1,0,491520,-0.4742338313162327,0.385
C,0.1,0,507904,-0.48998048052191734,0.385
C,0.1,0,524288,-0.5387282527983188,0.365
C,0.1,0,540672,-0.46629512578248977,0.4
C,0.1,0,557056,-0.436986962556839,0.415
C,0.1,0,573440,-0.37031321227550507,0.45
C,0.1,0,589824,-0.4355391602218151,0.425
C,0.1,0,606208,-0.48008582353591917,0.4
C,0.1,0,622592,-0.4746063336730003,0.4
C,0.1,0,638976,-0.4240486711263657,0.425
C,0.1,0,655360,-0.5115456408262253,0.385
C,0.1,0,671744,-0.4597445698082447,0.415
C,0.1,0,688128,-0.42881748989224433,0.42
C,0.1,0,704512,-0.357224935144186,0.46
C,0.1,0,720896,-0.4638433237373829,0.415
C,0.1,0,737280,-0.49699074879288674,0.405
C,0.1,0,753664,-0.5087894785404206,0.395
C,0.1,0,770048,-0.4705533288419247,0.415
C,0.1,0,786432,-0.35376895755529403,0.47
C,0.1,0,802816,-0.3453122441470623,0.475
C,0.1,0,819200,-0.3855306865274906,0.445
C,0.1,0,835584,-0.517729182690382,0.375
C,0.1,0,851968,-0.5547926729917526,0.345
C,0.1,0,868352,-0.5191156969964504,0.355
C,0.1,0,884736,-0.4207497951388359,0.42
C,0.1,0,901120,-0.3745093764364719,0.455
C,0.1,0,917504,-0.4154880066215992,0.435
C,0.1,0,933888,-0.38944885447621347,0.425
C,0.1,0,950272,-0.4035792756080627,0.405
C,0.1,0,966656,-0.4212317036092281,0.4
C,0.1,0,983040,-0.39220640614628793,0.435
C,0.1,0,999424,-0.3657905891537666,0.455
C,0.1,0,1015808,-0.258083381652832,0.515
C,0.1,0,1032192,-0.31738791197538374,0.475
