condition,w,sigma_d,success_mean,success_std,collision_mean,collision_std,effort_mean,effort_std,length_mean,length_std
A0.001,0.1,0.0,0.643,0.09628083921528732,0.31,0.07745966692414835,0.15131311766430736,0.009162677622434634,256.895,10.971324555403505
A0.001,0.1,0.02,0.5970000000000001,0.07058682596632314,0.34199999999999997,0.06879316826546077,0.1495153990983963,0.008215982762269362,252.475,10.336719136166947
A0.001,0.1,0.05,0.413,0.04251470333896264,0.45199999999999996,0.045634416836418515,0.14400084583833814,0.007031535515988206,239.78699999999998,7.0861419333795395
A0.001,0.1,0.1,0.22200000000000003,0.04982469267341243,0.5189999999999999,0.058566201857385286,0.14743331076577307,0.006270687724847494,235.26,9.181281909406763
A0.001,0.2,0.0,0.6950000000000001,0.061441028637222526,0.281,0.044916589362951405,0.14848693975433708,0.008183180748119,259.601,6.276393669934998
A0.001,0.2,0.02,0.657,0.05155094567512803,0.292,0.03290136775272422,0.1477748255431652,0.007276304105137263,258.281,3.9075590206675233
A0.001,0.2,0.05,0.531,0.032093613071762395,0.33899999999999997,0.028809720581775878,0.14536311588808895,0.005462322828626018,252.72799999999998,2.76522964688287
A0.001,0.2,0.1,0.298,0.05707451270050408,0.40499999999999997,0.02345207879911714,0.1463732795268297,0.003235533997867899,248.901,4.095723989723921
A0.001,0.4,0.0,0.754,0.0770876124938372,0.205,0.042278836313219416,0.15255474536120892,0.01525783573591829,271.336,4.972579059200556
A0.001,0.4,0.02,0.729,0.08898033490609036,0.20600000000000002,0.037980258029665884,0.15243823404051365,0.015263276183997351,271.262,4.416952569362722
A0.001,0.4,0.05,0.629,0.07900949310051293,0.21800000000000003,0.031144823004794864,0.15100539940036833,0.013420376723912532,269.675,3.528987106805588
A0.001,0.4,0.1,0.43200000000000005,0.07546522377890363,0.24100000000000002,0.03189827581547316,0.15119163747131825,0.010578964313938403,269.963,4.353152018939831
A0.003,0.1,0.0,0.657,0.048295962564173,0.286,0.04204164601915582,0.1672051619030535,0.005385770518738518,256.867,6.173499412812802
A0.003,0.1,0.02,0.597,0.04893873721296865,0.33399999999999996,0.04052776825831889,0.16379885028675198,0.00361460702737889,249.484,5.8498925203801875
A0.003,0.1,0.05,0.437,0.030124740662784137,0.437,0.039623225512317894,0.15920458387210965,0.004013716949914887,236.462,5.258542573755583
A0.003,0.1,0.1,0.242,0.038503246616356894,0.5509999999999999,0.022748626332154652,0.16227768532559278,0.0034057390503565775,226.573,3.171373125319691
A0.003,0.2,0.0,0.675,0.039843443626273053,0.269,0.04052776825831889,0.16027197210490704,0.005698553603101025,258.45300000000003,6.260532724936452
A0.003,0.2,0.02,0.658,0.04236744032862968,0.27,0.03142451272494136,0.16064913306012749,0.005962126973967389,258.547,5.0080966943540455
A0.003,0.2,0.05,0.564,0.04021815510438039,0.324,0.05424481542046207,0.15761986218765378,0.007787149112169993,250.821,8.76666441698322
A0.003,0.2,0.1,0.335,0.07185053931599956,0.41500000000000004,0.023717082451262844,0.15709177499078214,0.0030521811993154493,243.234,4.941147892949578
A0.003,0.4,0.0,0.738,0.038987177379235835,0.199,0.024083189157584586,0.15912041092664003,0.006146402101558241,270.477,3.645299370422132
A0.003,0.4,0.02,0.717,0.03346640106136301,0.205,0.013228756555322945,0.15890646823495627,0.005211654600243569,269.71999999999997,2.672697607287417
A0.003,0.4,0.05,0.647,0.02334523505985753,0.22400000000000003,0.02162174831043965,0.1585609971806407,0.004350075928124607,266.92199999999997,3.4122162885725773
A0.003,0.4,0.1,0.46699999999999997,0.04192254763250919,0.266,0.020432816741702563,0.1606784882824868,0.0030344459832747557,263.908,2.4892759991611704
A0.01,0.1,0.0,0.41500000000000004,0.03905124837953328,0.521,0.057597743011336834,0.1860523349326104,0.006549587022510142,220.18099999999998,9.010958883492922
A0.01,0.1,0.02,0.368,0.020186629238186347,0.561,0.026786190471957724,0.18274498617649076,0.002786994316670139,213.62399999999997,5.370179699041748
A0.01,0.1,0.05,0.302,0.024392621835300936,0.6140000000000001,0.035071355833500385,0.18086404309794307,0.005583166957674594,206.846,4.262759376272596
A0.01,0.1,0.1,0.238,0.019557607215607956,0.661,0.029240383034426918,0.18744096954353154,0.004951636235728401,203.779,5.193739500591063
A0.01,0.2,0.0,0.623,0.042071367935925245,0.296,0.0394334883062607,0.19519474571663886,0.008544079366797908,252.77200000000002,6.289811801636033
A0.01,0.2,0.02,0.611,0.03305298776207684,0.305,0.04138236339311711,0.1957835819972679,0.008876586078543138,251.17600000000002,6.759331882664144
A0.01,0.2,0.05,0.55,0.017677669529663653,0.34299999999999997,0.021965882636488788,0.19566843574587256,0.005785455889756886,246.564,4.322989995362009
A0.01,0.2,0.1,0.40800000000000003,0.03053686296920495,0.44399999999999995,0.019811612756158954,0.1969315236574039,0.005299355834788444,236.28400000000002,2.637383646722641
A0.01,0.4,0.0,0.692,0.05263078946776311,0.225,0.048347699014534284,0.18838114698417485,0.01163594471991781,264.39700000000005,7.636220105523423
A0.01,0.4,0.02,0.681,0.049168079075758125,0.233,0.047116875957558986,0.1878950849249959,0.010787193869972157,262.979,7.8906593514103855
A0.01,0.4,0.05,0.669,0.05116150896914598,0.24300000000000002,0.04295346318982906,0.18889902605582026,0.009827909289511865,261.42600000000004,7.371909013274644
A0.01,0.4,0.1,0.5900000000000001,0.04860555523805896,0.28500000000000003,0.03824264635194589,0.19508905209321528,0.009692361790156095,258.45300000000003,5.868004984660464
A0.03,0.1,0.0,0.126,0.018506755523321743,0.8379999999999999,0.0270647372054487,0.2589421155108139,0.013111021397744699,161.547,2.505712473529241
A0.03,0.1,0.02,0.142,0.016431676725154987,0.8240000000000001,0.029874738492579312,0.2635274676457048,0.013141804885289744,163.911,4.838262084674607
A0.03,0.1,0.05,0.119,0.010839741694339402,0.845,0.018371173070873843,0.2623547987611964,0.009372490027909536,160.374,3.3140956534173958
A0.03,0.1,0.1,0.128,0.02018662923818635,0.8379999999999999,0.01483239697419134,0.27485056619672105,0.012410801493164831,162.878,3.196872690614997
A0.03,0.2,0.0,0.36,0.04168333000133266,0.5700000000000001,0.04769696007084729,0.2877878717565909,0.021130719463655936,208.728,10.119178943965768
A0.03,0.2,0.02,0.36,0.029790938219532447,0.5730000000000001,0.0378483817355511,0.28920762182073667,0.017409839223392863,208.442,8.55085712078035
A0.03,0.2,0.05,0.331,0.02631539473388154,0.602,0.029916550603303175,0.2874680363433436,0.01866599315976392,202.89600000000002,7.1233299797215635
A0.03,0.2,0.1,0.28200000000000003,0.03174114049620775,0.647,0.03784838173555116,0.2896943237213418,0.017225244865435075,198.061,7.868955934557008
A0.03,0.4,0.0,0.6060000000000001,0.0631862326776965,0.30300000000000005,0.06260990336999413,0.30123877769149837,0.019897728201794543,251.30599999999998,10.793378988991348
A0.03,0.4,0.02,0.608,0.06620045317065436,0.3,0.07770135133960028,0.30230530838854613,0.02187389434267932,251.561,12.452674110406956
A0.03,0.4,0.05,0.5740000000000001,0.047355041970206305,0.32,0.06955213871621775,0.30337747434619816,0.02084108558783313,248.407,10.634609536790707
A0.03,0.4,0.1,0.517,0.048938737212968604,0.365,0.055677643628300216,0.30826443916186685,0.017410417200840963,243.66,9.102667191543365
A0.1,0.1,0.0,0.013000000000000001,0.00670820393249937,0.978,0.0075828754440515666,0.3245035037440248,0.013112471120539183,109.451,2.476704968299618
A0.1,0.1,0.02,0.016999999999999998,0.00570087712549569,0.978,0.005700877125495681,0.32741049996903165,0.016034302156973424,109.561,3.3126262240101854
A0.1,0.1,0.05,0.020999999999999998,0.013874436925511607,0.9709999999999999,0.019170289512680832,0.3296265854723751,0.014865906003093518,110.65799999999999,4.0577804893808676
A0.1,0.1,0.1,0.019,0.016355427233796127,0.969,0.01083974169433941,0.3374511818906758,0.01642070504885953,111.02799999999999,3.891205789983358
A0.1,0.2,0.0,0.069,0.013874436925511612,0.905,0.01581138830084191,0.37271987708937376,0.024267272070855335,129.297,4.277067628644659
A0.1,0.2,0.02,0.068,0.016431676725154984,0.909,0.01193733638631336,0.3712081955537433,0.023381767863463424,128.96999999999997,3.2396759097168975
A0.1,0.2,0.05,0.066,0.01746424919657298,0.9189999999999999,0.018506755523321726,0.3735474937785184,0.020889082322154758,128.124,3.7305049926249945
A0.1,0.2,0.1,0.05800000000000001,0.016431676725154987,0.9179999999999999,0.012041594578792305,0.37112622504890896,0.014696128637199608,126.05700000000002,2.4992138764019356
A0.1,0.4,0.0,0.242,0.04932038118263078,0.667,0.04957317823178177,0.477305044352077,0.02056623256102805,183.279,5.684366059641128
A0.1,0.4,0.02,0.22599999999999998,0.026315394733881534,0.681,0.02012461179749806,0.47304107598750855,0.014221103727333291,180.796,3.5889159226708056
A0.1,0.4,0.05,0.197,0.04117037770047781,0.697,0.03271085446759222,0.4746013140929863,0.02015666912843506,179.695,4.052079712937539
A0.1,0.4,0.1,0.182,0.04132190702278877,0.721,0.04306971093471606,0.47557345662522127,0.009798816079311405,175.52,3.582643925929555
B,0.1,0.0,0.42400000000000004,0.04204164601915581,0.488,0.043243496620879326,0.26740669347625223,0.01779500134276362,224.77100000000002,6.5363621380703805
B,0.1,0.02,0.413,0.04494441010848846,0.508,0.052511903412464485,0.2648745548762381,0.017229302254963004,220.19400000000002,7.650082025704041
B,0.1,0.05,0.35,0.03316624790355399,0.573,0.0496990945591567,0.2580576369324699,0.016598461379497737,210.846,6.705348052114821
B,0.1,0.1,0.286,0.03380088756231113,0.636,0.03646916505762097,0.25657881933404136,0.011928419575517398,205.359,7.60550573597838
B,0.2,0.0,0.5640000000000001,0.02747726332806811,0.32599999999999996,0.05128352561983232,0.2676264855274931,0.015366192132721591,249.35,9.952293705473137
B,0.2,0.02,0.567,0.03456877203488724,0.331,0.04735504197020631,0.26977778130443764,0.015337793621303821,248.791,9.015281054964401
B,0.2,0.05,0.49400000000000005,0.03911521443121591,0.40800000000000003,0.04266145801540307,0.2607869161935523,0.014142993375119345,238.31599999999997,7.725249510533631
B,0.2,0.1,0.421,0.04839938016132024,0.493,0.0405585995813465,0.25680272274557503,0.01432611334970351,228.56799999999998,7.194369847318103
B,0.4,0.0,0.688,0.0400936403934589,0.22199999999999998,0.02361143790623519,0.2565824148859829,0.010686684912791889,265.654,5.527213809868403
B,0.4,0.02,0.672,0.03817721833764214,0.229,0.026786190471957752,0.2568940740227699,0.01061561781158425,265.144,4.71525237924758
B,0.4,0.05,0.634,0.04350287346831239,0.263,0.04236744032862973,0.2552536608809605,0.011245913894574272,260.874,6.800747569201489
B,0.4,0.1,0.5660000000000001,0.05308012810836083,0.313,0.03438749772809879,0.25799828344024717,0.013227207198598876,256.541,5.968856046178358
C,0.1,0.0,0.608,0.0712916544905503,0.34500000000000003,0.0699106572705478,0.1483448544330895,0.006776024921904475,250.33199999999997,10.652965901569377
C,0.1,0.02,0.563,0.06515366451704767,0.37,0.060518592184550996,0.14708189886063336,0.00593920243654917,247.01800000000003,9.376324306464667
C,0.1,0.05,0.398,0.03768288736283354,0.481,0.01884144368141675,0.14239879392832516,0.005185840778538131,234.375,4.7336019583399676
C,0.1,0.1,0.187,0.034022051672408,0.55,0.047696960070847276,0.14896167231723667,0.008211865751679747,230.974,8.768059505956835
C,0.2,0.0,0.651,0.04761827380323653,0.30700000000000005,0.039465174521342246,0.14613996846228838,0.004074071576252936,254.727,5.536793521524894
C,0.2,0.02,0.627,0.05167204273105524,0.318,0.034387497728098765,0.14551685559749603,0.005183230175916418,253.43,4.492962552703953
C,0.2,0.05,0.508,0.026832815729997492,0.355,0.02715695122800054,0.14399441378563643,0.004279823156564177,249.664,3.107367052666938
C,0.2,0.1,0.305,0.034095454242464636,0.403,0.02138924963620744,0.14645200609788298,0.0045605825510825595,248.39300000000003,5.007864564861968
C,0.4,0.0,0.705,0.08681877677092667,0.215,0.033726843908080104,0.1492819381635636,0.014311916546155424,269.751,3.681953285961136
