kind,w,seed,skill,eps,w2,killed
bridge,0.1,0,1,0.003,0.021788182366413295,0.001999974250793457
bridge,0.1,0,1,0.01,0.012444438489433173,0.0059999823570251465
bridge,0.1,0,1,0.03,0.035391611331279264,0.10599994659423828
bridge,0.1,0,2,0.003,0.019740461785194785,0.3019999861717224
bridge,0.1,0,2,0.01,0.01778963906274837,0.5019999742507935
bridge,0.1,0,2,0.03,0.03221599912551594,0.7580000162124634
bridge,0.1,0,3,0.003,0.025622802775532607,0.0
bridge,0.1,0,3,0.01,0.03318093125611772,0.015999972820281982
bridge,0.1,0,3,0.03,0.03375162429741271,0.1239999532699585
bridge,0.1,1,1,0.003,0.019895379830547587,0.007999956607818604
bridge,0.1,1,1,0.01,0.015649235239143203,0.019999980926513672
bridge,0.1,1,1,0.03,0.022013773786962784,0.12999993562698364
bridge,0.1,1,2,0.003,0.013337673882778447,0.3359999656677246
bridge,0.1,1,2,0.01,0.019070464918611557,0.515999972820282
bridge,0.1,1,2,0.03,0.026175904227909868,0.7580000162124634
bridge,0.1,1,3,0.003,0.031337776425576745,0.001999974250793457
bridge,0.1,1,3,0.01,0.035352155576035944,0.0059999823570251465
bridge,0.1,1,3,0.03,0.02599751987975052,0.13799995183944702
bridge,0.1,2,1,0.003,0.019219435911333054,0.0
bridge,0.1,2,1,0.01,0.023177160665627524,0.003999948501586914
bridge,0.1,2,1,0.03,0.02614893844391425,0.11799997091293335
bridge,0.1,2,2,0.003,0.01790417378458803,0.28999996185302734
bridge,0.1,2,2,0.01,0.01658932002671259,0.5339999794960022
bridge,0.1,2,2,0.03,0.03443333637685601,0.7139999866485596
bridge,0.1,2,3,0.003,0.042190148081505834,0.0
bridge,0.1,2,3,0.01,0.031136768518672638,0.00999993085861206
bridge,0.1,2,3,0.03,0.03740288144001902,0.1239999532699585
bridge,0.1,3,1,0.003,0.02203722876507349,0.0
bridge,0.1,3,1,0.01,0.013838987189944123,0.0059999823570251465
bridge,0.1,3,1,0.03,0.02482367418433245,0.13199996948242188
bridge,0.1,3,2,0.003,0.023362075471550045,0.2979999780654907
bridge,0.1,3,2,0.01,0.01939026210742473,0.48799997568130493
bridge,0.1,3,2,0.03,0.03159359372860322,0.7259999513626099
bridge,0.1,3,3,0.003,0.05475013708679134,0.0
bridge,0.1,3,3,0.01,0.023319961912254005,0.00999993085861206
bridge,0.1,3,3,0.03,0.023326525388488433,0.13199996948242188
bridge,0.1,4,1,0.003,0.013429530471580757,0.0
bridge,0.1,4,1,0.01,0.017432025550240936,0.001999974250793457
bridge,0.1,4,1,0.03,0.028424528845738522,0.0979999303817749
bridge,0.1,4,2,0.003,0.014274454398031317,0.2579999566078186
bridge,0.1,4,2,0.01,0.019465342866157007,0.4699999690055847
bridge,0.1,4,2,0.03,0.029586338080832757,0.7599999904632568
bridge,0.1,4,3,0.003,0.03213055457793321,0.0
bridge,0.1,4,3,0.01,0.03156009998626699,0.003999948501586914
bridge,0.1,4,3,0.03,0.05305150471822757,0.0899999737739563
bridge,0.2,0,1,0.003,0.026150628526068104,0.00999993085861206
bridge,0.2,0,1,0.01,0.021141006083569554,0.00999993085861206
bridge,0.2,0,1,0.03,0.031132987858558756,0.08399993181228638
bridge,0.2,0,2,0.003,0.0248671492190837,0.25599998235702515
bridge,0.2,0,2,0.01,0.0256099297483263,0.2759999632835388
bridge,0.2,0,2,0.03,0.044533741077471475,0.4899999499320984
bridge,0.2,0,3,0.003,0.03814246180629044,0.0
bridge,0.2,0,3,0.01,0.03252889074518014,0.00999993085861206
bridge,0.2,0,3,0.03,0.03108236668333426,0.07799994945526123
bridge,0.2,1,1,0.003,0.032348936798555966,0.0
bridge,0.2,1,1,0.01,0.015969438765749806,0.023999929428100586
bridge,0.2,1,1,0.03,0.026544071287249026,0.04399996995925903
bridge,0.2,1,2,0.003,0.02455964923486569,0.24399995803833008
bridge,0.2,1,2,0.01,0.026118388033326622,0.2799999713897705
bridge,0.2,1,2,0.03,0.0393787879022817,0.4860000014305115
bridge,0.2,1,3,0.003,0.029458673379924367,0.001999974250793457
bridge,0.2,1,3,0.01,0.023956464394100742,0.003999948501586914
bridge,0.2,1,3,0.03,0.02684013474632485,0.08199995756149292
bridge,0.2,2,1,0.003,0.017064612905566216,0.0
bridge,0.2,2,1,0.01,0.013674873862806424,0.01399993896484375
bridge,0.2,2,1,0.03,0.022121207908566802,0.07999998331069946
bridge,0.2,2,2,0.003,0.02891179633919121,0.19399994611740112
bridge,0.2,2,2,0.01,0.029334808963938582,0.28999996185302734
bridge,0.2,2,2,0.03,0.038833927014831335,0.44999998807907104
bridge,0.2,2,3,0.003,0.04435897254883945,0.0
bridge,0.2,2,3,0.01,0.02516377327725061,0.003999948501586914
bridge,0.2,2,3,0.03,0.0412213837256149,0.07799994945526123
bridge,0.2,3,1,0.003,0.020890542097655437,0.003999948501586914
bridge,0.2,3,1,0.01,0.027677544903055885,0.01399993896484375
bridge,0.2,3,1,0.03,0.02076320500041388,0.07999998331069946
bridge,0.2,3,2,0.003,0.029753508622938452,0.21799993515014648
bridge,0.2,3,2,0.01,0.027025303661318608,0.2839999794960022
bridge,0.2,3,2,0.03,0.029881026060581954,0.45399999618530273
bridge,0.2,3,3,0.003,0.04494486157530674,0.0
bridge,0.2,3,3,0.01,0.045455263737800816,0.007999956607818604
bridge,0.2,3,3,0.03,0.02869850315544997,0.07799994945526123
bridge,0.2,4,1,0.003,0.01645825102845415,0.0
bridge,0.2,4,1,0.01,0.016816755053346937,0.007999956607818604
bridge,0.2,4,1,0.03,0.028432844755623875,0.055999934673309326
bridge,0.2,4,2,0.003,0.032217294965208663,0.21399998664855957
bridge,0.2,4,2,0.01,0.02589617268116045,0.2879999876022339
bridge,0.2,4,2,0.03,0.028732812098067172,0.48799997568130493
bridge,0.2,4,3,0.003,0.025654956483478406,0.001999974250793457
bridge,0.2,4,3,0.01,0.03573775866431564,0.001999974250793457
bridge,0.2,4,3,0.03,0.030273075444044846,0.07999998331069946
bridge,0.4,0,1,0.003,0.019362407485967435,0.0059999823570251465
bridge,0.4,0,1,0.01,0.028577131722482975,0.0
bridge,0.4,0,1,0.03,0.029062610962890485,0.04999995231628418
bridge,0.4,0,2,0.003,0.047599744126866954,0.21799993515014648
bridge,0.4,0,2,0.01,0.05114080581969761,0.22199994325637817
bridge,0.4,0,2,0.03,0.05430164520458173,0.28199994564056396
bridge,0.4,0,3,0.003,0.03158663805259963,0.001999974250793457
bridge,0.4,0,3,0.01,0.038810522796783535,0.003999948501586914
bridge,0.4,0,3,0.03,0.0411350716581048,0.05199992656707764
bridge,0.4,1,1,0.003,0.02912961947188389,0.0
bridge,0.4,1,1,0.01,0.01710634283044591,0.003999948501586914
bridge,0.4,1,1,0.03,0.03658645450787107,0.02599996328353882
bridge,0.4,1,2,0.003,0.0557989928070791,0.23799997568130493
bridge,0.4,1,2,0.01,0.05914170329986638,0.25999999046325684
bridge,0.4,1,2,0.03,0.046166186251714335,0.25599998235702515
bridge,0.4,1,3,0.003,0.046298467247575435,0.0
bridge,0.4,1,3,0.01,0.034113532090316374,0.003999948501586914
