=== stage demos ===
[demos mild L=0 k=1] reach=1.000
[demos mild L=0 k=2] reach=1.000
[demos mild L=0 k=3] reach=1.000
[demos mild L=1 k=1] reach=1.000
[demos mild L=1 k=2] reach=1.000
[demos mild L=1 k=3] reach=1.000
[demos mild L=2 k=1] reach=1.000
[demos mild L=2 k=2] reach=1.000
[demos mild L=2 k=3] reach=1.000
[demos mild L=3 k=1] reach=1.000
[demos mild L=3 k=2] reach=1.000
[demos mild L=3 k=3] reach=1.000
[demos mild L=4 k=1] reach=1.000
[demos mild L=4 k=2] reach=1.000
[demos mild L=4 k=3] reach=1.000
[demos mild L=5 k=1] reach=1.000
[demos mild L=5 k=2] reach=1.000
[demos mild L=5 k=3] reach=1.000
[demos mild L=6 k=1] reach=1.000
[demos mild L=6 k=2] reach=1.000
[demos mild L=6 k=3] reach=1.000
[demos mild L=7 k=1] reach=1.000
[demos mild L=7 k=2] reach=1.000
[demos mild L=7 k=3] reach=1.000
[demos mild L=8 k=1] reach=1.000
[demos mild L=8 k=2] reach=1.000
[demos mild L=8 k=3] reach=1.000
[demos mild L=9 k=1] reach=1.000
[demos mild L=9 k=2] reach=1.000
[demos mild L=9 k=3] reach=1.000
[demos mild L=10 k=1] reach=1.000
[demos mild L=10 k=2] reach=1.000
[demos mild L=10 k=3] reach=1.000
[demos mild L=11 k=1] reach=1.000
[demos mild L=11 k=2] reach=1.000
[demos mild L=11 k=3] reach=1.000
[demos mild L=12 k=1] reach=1.000
[demos mild L=12 k=2] reach=1.000
[demos mild L=12 k=3] reach=1.000
[demos mild L=13 k=1] reach=1.000
[demos mild L=13 k=2] reach=1.000
[demos mild L=13 k=3] reach=1.000
[demos mild L=14 k=1] reach=1.000
[demos mild L=14 k=2] reach=1.000
[demos mild L=14 k=3] reach=1.000
[demos mild L=15 k=1] reach=1.000
[demos mild L=15 k=2] reach=1.000
[demos mild L=15 k=3] reach=1.000
[demos mild L=16 k=1] reach=1.000
[demos mild L=16 k=2] reach=1.000
[demos mild L=16 k=3] reach=1.000
[demos mild L=17 k=1] reach=1.000
[demos mild L=17 k=2] reach=1.000
[demos mild L=17 k=3] reach=1.000
[demos mild L=18 k=1] reach=1.000
[demos mild L=18 k=2] reach=1.000
[demos mild L=18 k=3] reach=1.000
[demos mild L=19 k=1] reach=1.000
[demos mild L=19 k=2] reach=1.000
[demos mild L=19 k=3] reach=1.000
[demos rough L=0 k=1] reach=1.000
[demos rough L=0 k=2] reach=0.996
[demos rough L=0 k=3] reach=1.000
[demos rough L=1 k=1] reach=1.000
[demos rough L=1 k=2] reach=1.000
[demos rough L=1 k=3] reach=1.000
[demos rough L=2 k=1] reach=1.000
[demos rough L=2 k=2] reach=1.000
[demos rough L=2 k=3] reach=1.000
[demos rough L=3 k=1] reach=1.000
[demos rough L=3 k=2] reach=1.000
[demos rough L=3 k=3] reach=1.000
[demos rough L=4 k=1] reach=1.000
[demos rough L=4 k=2] reach=1.000
[demos rough L=4 k=3] reach=1.000
[demos rough L=5 k=1] reach=0.998
[demos rough L=5 k=2] reach=1.000
[demos rough L=5 k=3] reach=1.000
[demos rough L=6 k=1] reach=1.000
[demos rough L=6 k=2] reach=1.000
[demos rough L=6 k=3] reach=1.000
[demos rough L=7 k=1] reach=1.000
[demos rough L=7 k=2] reach=1.000
[demos rough L=7 k=3] reach=0.998
[demos rough L=8 k=1] reach=1.000
[demos rough L=8 k=2] reach=0.998
[demos rough L=8 k=3] reach=0.998
[demos rough L=9 k=1] reach=1.000
[demos rough L=9 k=2] reach=1.000
[demos rough L=9 k=3] reach=0.996
[demos rough L=10 k=1] reach=1.000
[demos rough L=10 k=2] reach=0.998
[demos rough L=10 k=3] reach=1.000
[demos rough L=11 k=1] reach=1.000
[demos rough L=11 k=2] reach=1.000
[demos rough L=11 k=3] reach=0.998
[demos rough L=12 k=1] reach=1.000
[demos rough L=12 k=2] reach=1.000
[demos rough L=12 k=3] reach=1.000
[demos rough L=13 k=1] reach=1.000
[demos rough L=13 k=2] reach=1.000
[demos rough L=13 k=3] reach=1.000
[demos rough L=14 k=1] reach=1.000
[demos rough L=14 k=2] reach=1.000
[demos rough L=14 k=3] reach=1.000
[demos rough L=15 k=1] reach=1.000
[demos rough L=15 k=2] reach=1.000
[demos rough L=15 k=3] reach=1.000
[demos rough L=16 k=1] reach=1.000
[demos rough L=16 k=2] reach=0.996
[demos rough L=16 k=3] reach=1.000
[demos rough L=17 k=1] reach=1.000
[demos rough L=17 k=2] reach=1.000
[demos rough L=17 k=3] reach=1.000
[demos rough L=18 k=1] reach=1.000
[demos rough L=18 k=2] reach=0.996
[demos rough L=18 k=3] reach=1.000
[demos rough L=19 k=1] reach=1.000
[demos rough L=19 k=2] reach=1.000
[demos rough L=19 k=3] reach=1.000
=== demos took 555.8s ===
EXIT 0
