condition,rough,sigma_k,seed,episode,layout,success,effort,corridor_dev
ORACLE,mild,0.0,0,0,20,1,0.8381925225257874,0.20351244509220123
ORACLE,mild,0.0,0,1,21,1,0.9186248779296875,0.22029678523540497
ORACLE,mild,0.0,0,2,22,1,0.9981195330619812,0.2252538651227951
ORACLE,mild,0.0,0,3,23,1,0.8188228607177734,0.1891416609287262
ORACLE,mild,0.0,0,4,24,1,0.9359230399131775,0.18555404245853424
ORACLE,mild,0.0,0,5,25,1,0.8540875911712646,0.19530655443668365
ORACLE,mild,0.0,0,6,26,1,0.9413053393363953,0.19904325902462006
ORACLE,mild,0.0,0,7,27,1,1.0036911964416504,0.22182144224643707
ORACLE,mild,0.0,0,8,28,1,0.7354973554611206,0.21920429170131683
ORACLE,mild,0.0,0,9,29,1,0.8903135061264038,0.19298721849918365
ORACLE,mild,0.0,0,10,20,1,0.8460336923599243,0.19364039599895477
ORACLE,mild,0.0,0,11,21,1,0.9851399660110474,0.22347651422023773
ORACLE,mild,0.0,0,12,22,1,1.048916220664978,0.2022750973701477
ORACLE,mild,0.0,0,13,23,1,0.9557215571403503,0.21878093481063843
ORACLE,mild,0.0,0,14,24,1,0.8751694560050964,0.19232366979122162
ORACLE,mild,0.0,0,15,25,1,0.991592526435852,0.2124890685081482
ORACLE,mild,0.0,0,16,26,1,0.768451988697052,0.19933795928955078
ORACLE,mild,0.0,0,17,27,1,0.950972318649292,0.21951162815093994
ORACLE,mild,0.0,0,18,28,1,1.0631645917892456,0.19401811063289642
ORACLE,mild,0.0,0,19,29,1,0.8956144452095032,0.2388163059949875
ORACLE,mild,0.0,0,20,20,1,0.7637319564819336,0.1686699092388153
ORACLE,mild,0.0,0,21,21,1,0.907776415348053,0.20251505076885223
ORACLE,mild,0.0,0,22,22,1,0.9658627510070801,0.21031346917152405
ORACLE,mild,0.0,0,23,23,1,0.9729305505752563,0.2127426266670227
ORACLE,mild,0.0,0,24,24,1,0.8587697744369507,0.2062809020280838
ORACLE,mild,0.0,0,25,25,1,0.8373862504959106,0.17990246415138245
ORACLE,mild,0.0,0,26,26,1,0.8434931635856628,0.21927884221076965
ORACLE,mild,0.0,0,27,27,1,0.90730881690979,0.20737232267856598
ORACLE,mild,0.0,0,28,28,1,0.8065542578697205,0.18898889422416687
ORACLE,mild,0.0,0,29,29,1,1.032395362854004,0.22592242062091827
ORACLE,mild,0.0,0,30,20,1,0.990371584892273,0.18426364660263062
ORACLE,mild,0.0,0,31,21,1,0.975551962852478,0.20261645317077637
ORACLE,mild,0.0,0,32,22,1,0.9199751019477844,0.20897793769836426
ORACLE,mild,0.0,0,33,23,1,0.9254597425460815,0.20652848482131958
ORACLE,mild,0.0,0,34,24,1,0.8028405904769897,0.206624835729599
ORACLE,mild,0.0,0,35,25,1,1.06316077709198,0.2215319126844406
ORACLE,mild,0.0,0,36,26,1,0.8680298328399658,0.24701733887195587
ORACLE,mild,0.0,0,37,27,1,1.0273098945617676,0.1946355253458023
ORACLE,mild,0.0,0,38,28,1,0.8176102042198181,0.2253861278295517
ORACLE,mild,0.0,0,39,29,1,0.8619151711463928,0.1881140172481537
ORACLE,mild,0.0,0,40,20,1,0.8189929127693176,0.19107791781425476
ORACLE,mild,0.0,0,41,21,1,0.9452372789382935,0.24588723480701447
ORACLE,mild,0.0,0,42,22,1,0.9761013984680176,0.21829186379909515
ORACLE,mild,0.0,0,43,23,1,0.889951765537262,0.22261744737625122
ORACLE,mild,0.0,0,44,24,1,1.1909071207046509,0.20873787999153137
ORACLE,mild,0.0,0,45,25,1,0.9394549131393433,0.1909182071685791
ORACLE,mild,0.0,0,46,26,1,0.9183601140975952,0.19560380280017853
ORACLE,mild,0.0,0,47,27,1,0.9356157779693604,0.2211611270904541
ORACLE,mild,0.0,0,48,28,1,0.8969922065734863,0.22292068600654602
ORACLE,mild,0.0,0,49,29,1,0.9269643425941467,0.17845261096954346
ORACLE,mild,0.0,0,50,20,1,0.9614816308021545,0.21360670030117035
ORACLE,mild,0.0,0,51,21,1,0.9637424945831299,0.20501860976219177
ORACLE,mild,0.0,0,52,22,1,0.9271531105041504,0.17993906140327454
ORACLE,mild,0.0,0,53,23,1,0.8806017637252808,0.1947452872991562
ORACLE,mild,0.0,0,54,24,1,0.881848156452179,0.2058219015598297
ORACLE,mild,0.0,0,55,25,1,1.0189508199691772,0.21333035826683044
ORACLE,mild,0.0,0,56,26,1,0.8372748494148254,0.23018886148929596
ORACLE,mild,0.0,0,57,27,1,0.9542149305343628,0.22113564610481262
ORACLE,mild,0.0,0,58,28,1,0.7982495427131653,0.23223631083965302
ORACLE,mild,0.0,0,59,29,1,0.6960985660552979,0.203641876578331
ORACLE,mild,0.0,0,60,20,1,0.8308123350143433,0.2343301773071289
ORACLE,mild,0.0,0,61,21,1,0.8588991165161133,0.2058929055929184
ORACLE,mild,0.0,0,62,22,1,0.8699325919151306,0.2287147045135498
ORACLE,mild,0.0,0,63,23,1,1.0196675062179565,0.1861882507801056
ORACLE,mild,0.0,0,64,24,1,0.8502718210220337,0.2151191532611847
ORACLE,mild,0.0,0,65,25,1,0.6588324904441833,0.22852925956249237
ORACLE,mild,0.0,0,66,26,1,1.190162181854248,0.17263340950012207
ORACLE,mild,0.0,0,67,27,1,0.831993818283081,0.18591134250164032
ORACLE,mild,0.0,0,68,28,1,0.9065527319908142,0.1910647451877594
ORACLE,mild,0.0,0,69,29,1,0.9054762125015259,0.19517114758491516
ORACLE,mild,0.0,0,70,20,1,0.9529867172241211,0.23521016538143158
ORACLE,mild,0.0,0,71,21,1,0.8132449388504028,0.20515577495098114
ORACLE,mild,0.0,0,72,22,1,0.9107257723808289,0.18389375507831573
ORACLE,mild,0.0,0,73,23,1,0.9832711815834045,0.20584070682525635
ORACLE,mild,0.0,0,74,24,1,0.8670396208763123,0.18843363225460052
ORACLE,mild,0.0,0,75,25,1,0.9720595479011536,0.20437461137771606
ORACLE,mild,0.0,0,76,26,1,0.9782233834266663,0.2221381962299347
ORACLE,mild,0.0,0,77,27,1,0.8087101578712463,0.19113779067993164
ORACLE,mild,0.0,0,78,28,1,0.8070722222328186,0.19624753296375275
ORACLE,mild,0.0,0,79,29,1,0.9619166254997253,0.1933622807264328
ORACLE,mild,0.0,0,80,20,1,0.8341701030731201,0.2310851365327835
ORACLE,mild,0.0,0,81,21,1,0.9142463207244873,0.20189036428928375
