condition,rough,sigma_k,seed,handoff,w2
ORACLE,mild,0.0,0,1,0.026963302563188747
ORACLE,mild,0.0,0,2,0.025575706018151238
ORACLE,mild,0.0,1,1,0.02519476733505425
ORACLE,mild,0.0,1,2,0.02663952927989116
ORACLE,mild,0.0,2,1,0.025146193782702445
ORACLE,mild,0.0,2,2,0.02466631032753088
ORACLE,mild,0.0,3,1,0.02920819242804054
ORACLE,mild,0.0,3,2,0.03330071311053622
ORACLE,mild,0.0,4,1,0.03153969227465524
ORACLE,mild,0.0,4,2,0.025127818319840477
ORACLE,mild,0.03,0,1,0.0259745927131231
ORACLE,mild,0.03,0,2,0.023451275963398355
ORACLE,mild,0.03,1,1,0.02375102973405974
ORACLE,mild,0.03,1,2,0.02223995343145973
ORACLE,mild,0.03,2,1,0.023970674621641982
ORACLE,mild,0.03,2,2,0.02645719377739667
ORACLE,mild,0.03,3,1,0.026534787642956012
ORACLE,mild,0.03,3,2,0.023873580472506817
ORACLE,mild,0.03,4,1,0.029904450420775587
ORACLE,mild,0.03,4,2,0.02264123922530448
ORACLE,mild,0.06,0,1,0.020191473600847498
ORACLE,mild,0.06,0,2,0.024626604925688057
ORACLE,mild,0.06,1,1,0.01988195605139629
ORACLE,mild,0.06,1,2,0.02219724143056885
ORACLE,mild,0.06,2,1,0.022140040216315385
ORACLE,mild,0.06,2,2,0.02245868315175664
ORACLE,mild,0.06,3,1,0.01790935865699793
ORACLE,mild,0.06,3,2,0.021529701136373973
ORACLE,mild,0.06,4,1,0.026722604081183265
ORACLE,mild,0.06,4,2,0.01907708375656072
ORACLE,mild,0.1,0,1,0.034209347884536154
ORACLE,mild,0.1,0,2,0.02413096439046881
ORACLE,mild,0.1,1,1,0.03252802468423412
ORACLE,mild,0.1,1,2,0.032360398007977596
ORACLE,mild,0.1,2,1,0.04465019797848889
ORACLE,mild,0.1,2,2,0.029252708793431798
ORACLE,mild,0.1,3,1,0.0331911033928461
ORACLE,mild,0.1,3,2,0.045564086734839006
ORACLE,mild,0.1,4,1,0.02626020903482714
ORACLE,mild,0.1,4,2,0.02824835553759212
ORACLE,mild,0.15,0,1,0.07287574904608786
ORACLE,mild,0.15,0,2,0.05977772521558542
ORACLE,mild,0.15,1,1,0.06301568805316432
ORACLE,mild,0.15,1,2,0.07954958663197474
ORACLE,mild,0.15,2,1,0.09230361740130734
ORACLE,mild,0.15,2,2,0.07728715607055335
ORACLE,mild,0.15,3,1,0.08227238612898562
ORACLE,mild,0.15,3,2,0.09161297822368136
ORACLE,mild,0.15,4,1,0.06906155784148545
ORACLE,mild,0.15,4,2,0.06306196630078033
ORACLE,rough,0.0,0,1,0.024755986516363793
ORACLE,rough,0.0,0,2,0.02497825316180682
ORACLE,rough,0.0,1,1,0.025582221525065296
ORACLE,rough,0.0,1,2,0.026774365304437338
ORACLE,rough,0.0,2,1,0.025587965558495778
ORACLE,rough,0.0,2,2,0.01951660409635741
ORACLE,rough,0.0,3,1,0.01973486927230444
ORACLE,rough,0.0,3,2,0.027793199313513508
ORACLE,rough,0.0,4,1,0.025299283750189375
ORACLE,rough,0.0,4,2,0.024681202270907147
ORACLE,rough,0.03,0,1,0.022808482537206427
ORACLE,rough,0.03,0,2,0.025046337860082004
ORACLE,rough,0.03,1,1,0.02625661941994869
ORACLE,rough,0.03,1,2,0.020906026779278077
ORACLE,rough,0.03,2,1,0.02231044491361582
ORACLE,rough,0.03,2,2,0.02049087329388942
ORACLE,rough,0.03,3,1,0.01889474460545693
ORACLE,rough,0.03,3,2,0.020436474709418017
ORACLE,rough,0.03,4,1,0.026106464725666138
ORACLE,rough,0.03,4,2,0.017798783127169746
ORACLE,rough,0.06,0,1,0.01980983409862469
ORACLE,rough,0.06,0,2,0.020953547167055102
ORACLE,rough,0.06,1,1,0.02106897695783687
ORACLE,rough,0.06,1,2,0.021251794247819488
ORACLE,rough,0.06,2,1,0.021650188111842515
ORACLE,rough,0.06,2,2,0.019011031806965544
ORACLE,rough,0.06,3,1,0.015552530602465513
ORACLE,rough,0.06,3,2,0.024858717846885627
ORACLE,rough,0.06,4,1,0.02729270118290192
ORACLE,rough,0.06,4,2,0.02293206003311021
ORACLE,rough,0.1,0,1,0.036691524131709015
ORACLE,rough,0.1,0,2,0.030327887971535114
ORACLE,rough,0.1,1,1,0.035089104902076576
ORACLE,rough,0.1,1,2,0.042626806572431376
ORACLE,rough,0.1,2,1,0.04530193514471732
ORACLE,rough,0.1,2,2,0.039044952130710416
ORACLE,rough,0.1,3,1,0.041581015060366315
ORACLE,rough,0.1,3,2,0.050920683917089385
ORACLE,rough,0.1,4,1,0.03435687527795978
ORACLE,rough,0.1,4,2,0.03518574114666274
ORACLE,rough,0.15,0,1,0.09278187092174381
ORACLE,rough,0.15,0,2,0.0793409366524623
ORACLE,rough,0.15,1,1,0.0732860205720539
ORACLE,rough,0.15,1,2,0.09543697814155212
ORACLE,rough,0.15,2,1,0.10382230860715996
ORACLE,rough,0.15,2,2,0.10496986439584573
ORACLE,rough,0.15,3,1,0.0979388499134267
ORACLE,rough,0.15,3,2,0.10763015739152662
ORACLE,rough,0.15,4,1,0.08352787399521994
ORACLE,rough,0.15,4,2,0.07431346970567856
TRACK,mild,0.0,0,1,0.022848790638599317
TRACK,mild,0.0,0,2,0.028266424927583394
TRACK,mild,0.0,1,1,0.030843269231217985
TRACK,mild,0.0,1,2,0.027370849956704458
TRACK,mild,0.0,2,1,0.02659546786655909
TRACK,mild,0.0,2,2,0.026143540820197306
