rough,layout,oracle_success_no_push
mild,0,1.0
mild,1,1.0
mild,2,1.0
mild,3,1.0
mild,4,1.0
mild,5,1.0
mild,6,1.0
mild,7,1.0
mild,8,1.0
mild,9,1.0
mild,10,1.0
mild,11,1.0
mild,12,1.0
mild,13,1.0
mild,14,1.0
mild,15,1.0
mild,16,1.0
mild,17,1.0
mild,18,1.0
mild,19,1.0
mild,20,1.0
mild,21,1.0
mild,22,1.0
mild,23,1.0
mild,24,1.0
mild,25,1.0
mild,26,1.0
mild,27,1.0
mild,28,1.0
mild,29,1.0
rough,0,1.0
rough,1,1.0
rough,2,1.0
rough,3,1.0
rough,4,1.0
rough,5,1.0
rough,6,1.0
rough,7,1.0
rough,8,1.0
rough,9,1.0
rough,10,1.0
rough,11,1.0
rough,12,1.0
rough,13,1.0
rough,14,1.0
rough,15,1.0
rough,16,1.0
rough,17,1.0
rough,18,1.0
rough,19,1.0
rough,20,1.0
rough,21,1.0
rough,22,1.0
rough,23,1.0
rough,24,1.0
rough,25,1.0
rough,26,1.0
rough,27,1.0
rough,28,1.0
rough,29,1.0
