condition,rough,sigma_k,seed,episode,push_step,recovery
ORACLE,mild,0.03,0,98,2,7
ORACLE,mild,0.03,0,63,14,2
ORACLE,mild,0.03,0,78,18,2
ORACLE,mild,0.03,0,189,17,4
ORACLE,mild,0.03,0,199,20,2
ORACLE,mild,0.03,0,64,20,4
ORACLE,mild,0.03,0,163,25,4
ORACLE,mild,0.03,0,178,25,4
ORACLE,mild,0.03,0,137,22,8
ORACLE,mild,0.03,0,125,30,2
ORACLE,mild,0.03,0,117,32,2
ORACLE,mild,0.03,0,182,31,8
ORACLE,mild,0.03,0,90,37,5
ORACLE,mild,0.03,0,196,40,2
ORACLE,mild,0.03,0,118,53,2
ORACLE,mild,0.03,0,195,48,8
ORACLE,mild,0.03,0,118,56,4
ORACLE,mild,0.03,0,102,70,3
ORACLE,mild,0.03,0,182,69,6
ORACLE,mild,0.03,0,7,71,5
ORACLE,mild,0.03,0,79,76,6
ORACLE,mild,0.03,0,164,87,3
ORACLE,mild,0.03,0,119,93,2
ORACLE,mild,0.03,0,111,94,3
ORACLE,mild,0.03,0,28,97,2
ORACLE,mild,0.03,0,37,18,4
ORACLE,mild,0.03,0,12,24,4
ORACLE,mild,0.03,0,185,29,8
ORACLE,mild,0.03,0,130,35,4
ORACLE,mild,0.03,0,10,44,3
ORACLE,mild,0.03,0,169,48,2
ORACLE,mild,0.03,0,9,45,9
ORACLE,mild,0.03,0,1,55,4
ORACLE,mild,0.03,0,42,59,4
ORACLE,mild,0.03,0,104,64,2
ORACLE,mild,0.03,0,153,64,2
ORACLE,mild,0.03,0,62,64,3
ORACLE,mild,0.03,0,4,68,3
ORACLE,mild,0.03,0,128,73,3
ORACLE,mild,0.03,0,61,84,4
ORACLE,mild,0.03,0,17,93,2
ORACLE,mild,0.03,0,73,96,2
ORACLE,mild,0.03,0,116,95,3
ORACLE,mild,0.03,0,85,4,2
ORACLE,mild,0.03,0,43,4,14
ORACLE,mild,0.03,0,179,17,3
ORACLE,mild,0.03,0,11,24,6
ORACLE,mild,0.03,0,133,30,3
ORACLE,mild,0.03,0,166,31,2
ORACLE,mild,0.03,0,29,31,8
ORACLE,mild,0.03,0,71,26,14
ORACLE,mild,0.03,0,51,36,6
ORACLE,mild,0.03,0,111,40,2
ORACLE,mild,0.03,0,115,40,7
ORACLE,mild,0.03,0,159,43,5
ORACLE,mild,0.03,0,70,46,3
ORACLE,mild,0.03,0,123,41,9
ORACLE,mild,0.03,0,190,47,5
ORACLE,mild,0.03,0,111,52,2
ORACLE,mild,0.03,0,187,49,5
ORACLE,mild,0.03,0,137,53,3
ORACLE,mild,0.03,0,154,59,5
