condition,rough,sigma_k,success_mean,success_std,effort_mean,effort_std,corridor_dev_mean,corridor_dev_std,rec_median_mean,rec_median_std,never_mean,never_std,n_push,handoff1_w2_mean,handoff2_w2_mean,handoff1_w2_std,handoff2_w2_std
BRIDGE-obs,mild,0.0,0.791,0.06014565653478233,0.23355955418944357,0.0021681061553870274,0.11812518277019261,0.0011470359188685067,,,,,,0.04047321987405319,0.06508158664487339,0.0038896598864109387,0.005018430035679772
BRIDGE-obs,mild,0.03,0.627,0.018234582528810474,0.23570963432639838,0.004131505289816945,0.12415209762752055,0.0016398983359114875,8.2,2.4135036772294343,0.24970245458435442,0.03518926682009221,396.0,0.040877260305501054,0.05460670918368601,0.00335768099019112,0.00514776435674341
BRIDGE-obs,mild,0.06,0.413,0.03365263734092769,0.24258649356663228,0.005372431717554879,0.14169249670952558,0.002481077235351684,12.4,0.8944271909999157,0.3289905409009476,0.02183270432003623,1507.0,0.05278422270187229,0.07219050885834086,0.0052455920852478586,0.008269264191211009
BRIDGE-obs,mild,0.1,0.24500000000000002,0.04690415759823432,0.2592410112954676,0.0069156117679676195,0.17387975224107505,0.00376229011106765,14.0,0.9999999999999999,0.3951390743226223,0.016988592912928653,1876.0,0.0966295220449027,0.12474817063336277,0.007939622429573676,0.009616181280240024
BRIDGE-obs,mild,0.15,0.136,0.019493588689617935,0.2877736546769738,0.008106069697445832,0.21650735583156347,0.0052416990076508355,13.1,1.02469507659596,0.4367031028654833,0.02298840552685968,1988.0,0.15688021757070233,0.1923442641781798,0.012200535962471556,0.009928860819831983
BRIDGE-obs,rough,0.0,0.33999999999999997,0.06254998001598402,0.34822983616590497,0.003725152153239334,0.12504143534600734,0.0006042828679798336,,,,,,0.06633269361110168,0.0952501103809382,0.005235688938425414,0.005145359133851259
BRIDGE-obs,rough,0.03,0.346,0.04954795656734998,0.352246054507792,0.007706186682638344,0.12827927852422,0.0017453608978955399,5.7,1.0954451150103321,0.15338742747216,0.03779414788657322,427.0,0.07013141249493555,0.09162641404448317,0.0054817371653398264,0.0066078152050994725
BRIDGE-obs,rough,0.06,0.298,0.05106368572674714,0.3728566123247147,0.00988278326574137,0.14076870737224817,0.0019479174008739052,9.6,0.8944271909999157,0.23421262403106707,0.01887597261754094,1688.0,0.07490414160186958,0.10110685169435474,0.007220145548080783,0.009749992415350298
BRIDGE-obs,rough,0.1,0.24,0.03741657386773941,0.42262035262584685,0.013390426936376019,0.16645349920541047,0.0037606025069632796,12.3,0.8366600265340755,0.2870705032550262,0.012431230452861333,2155.0,0.09596421736604255,0.12918633534868287,0.00805674393926195,0.009729818876923422
BRIDGE-obs,rough,0.15,0.177,0.031144823004794868,0.514091178946197,0.018739549905999194,0.20316211500763895,0.0051346413513459555,13.6,2.073644135332772,0.3299041886438736,0.01881759612564784,2243.0,0.13922168967091716,0.1774948917979303,0.010169774746032704,0.010960860707629147
BRIDGE-plain,mild,0.0,0.783,0.0352845575287547,0.23377594797313214,0.002832880741854181,0.11771903035789728,0.00048361763807522004,,,,,,0.042307986977802206,0.06620764775143237,0.006013850568717737,0.0019144355086959989
BRIDGE-plain,mild,0.03,0.625,0.03142451272494136,0.2373752195313573,0.003933346527748253,0.12354615055024624,0.0017285880455547773,8.6,2.274862633215465,0.2536054584835073,0.021494868822962282,395.0,0.040934053436312165,0.058115717548930926,0.004921222365094837,0.005175656800071378
BRIDGE-plain,mild,0.06,0.438,0.042367440328629734,0.24789017331600188,0.005465003505195121,0.13977663961052894,0.002727015331682102,12.4,1.140175425099138,0.3417686605176842,0.020259182657974398,1500.0,0.052963288649663806,0.07068944845182824,0.004836942651223093,0.006998377439038949
BRIDGE-plain,mild,0.1,0.279,0.03943348830626072,0.2708307731449604,0.0074210066948158454,0.16957751031965015,0.003977603627857029,13.8,0.44721359549995804,0.39641439807568657,0.02057000902396669,1907.0,0.09683913843475185,0.11961350599561546,0.007467958208201686,0.00944308288763883
BRIDGE-plain,mild,0.15,0.16899999999999998,0.028151376520518502,0.30919359684735537,0.009595990631216727,0.210066370934248,0.005491629103054036,13.6,1.8506755523321747,0.44398649954919717,0.016273052620298545,2024.0,0.1551106067072496,0.18664080201423078,0.012595963344147927,0.00799357133816053
BRIDGE-plain,rough,0.0,0.40700000000000003,0.06629479617586889,0.36291125613451003,0.005498425267772207,0.1252644629403949,0.0007720925686394237,,,,,,0.06170956176394697,0.09002905938003991,0.006943221221892406,0.004091200593272608
BRIDGE-plain,rough,0.03,0.397,0.041922547632509174,0.3689740392118692,0.008196997008944622,0.1284537255242467,0.0018987947409591479,5.8,1.2549900398011133,0.14178352580799577,0.021494711594785467,425.0,0.06264037204497756,0.0882728804992506,0.007462388348400389,0.004006212560239821
